BEVOEGD GEZAG NUMMER;BRIN NUMMER;INSTELLINGSNAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES
10249;16AH;Openbare Basisschool 't Eenspan;Oosterstraat;58;7822 HG;EMMEN;Drenthe;0114;EMMEN;Openbaar;0591659840;www.obs-eenspan.nl;Oosterstraat;58;7822 HG;EMMEN
10249;16BX;Openbare Basisschool 2 Emmen Mr Vegter;Bargermeerweg;113;7811 LD;EMMEN;Drenthe;0114;EMMEN;Openbaar;0591659842;www.obs-mr-vegter.nl;Bargermeerweg;113;7811 LD;EMMEN
10249;16DJ;Openbare Basisschool De Esdoorn;Buiskoolstraat;1;7814 RC;EMMEN;Drenthe;0114;EMMEN;Openbaar;0591659848;www.obs-esdoorn.nl;Buiskoolstraat;1;7814 RC;EMMEN
10249;16HI;Openbare Basisschool Emmermeer;Middenhaag;4;7815 LB;EMMEN;Drenthe;0114;EMMEN;Openbaar;0591659896;www.obs-emmermeer.nl;Middenhaag;4;7815 LB;EMMEN
10249;16MA;Openbare Basisschool Angelslo;Smedingeslag;1;7824 HK;EMMEN;Drenthe;0114;EMMEN;Openbaar;0591625269;www.obs-angelslo.nl;Smedingeslag;1;7824 HK;EMMEN
10249;16NR;De Hasselbraam;Het Waal;33;7823 NN;EMMEN;Drenthe;0114;EMMEN;Openbaar;0591622100;www.obs-kubus.nl;Het Waal;33;7823 NN;EMMEN
10249;16UA;Openbare Basisschool De Iemenkorf;Laan van het Kinholt;187;7823 GD;EMMEN;Drenthe;0114;EMMEN;Openbaar;0591625218;www.obs-kubus.nl;Laan van het Kinholt;187;7823 GD;EMMEN
10249;16WN;Openbare Basisschool op 't Veld;Barnar;5-A;7826 EP;EMMEN;Drenthe;0114;EMMEN;Openbaar;0591629364;www.obs-optveld.nl;Barnar;5-A;7826 EP;EMMEN
10249;16XQ;Openbare Basisschool De Brink;Rolderbrink;128-130;7812 PK;EMMEN;Drenthe;0114;EMMEN;Openbaar;0591659850;www.obs-brink.nl;Rolderbrink;128-130;7812 PK;EMMEN
10249;16YK;Openbare Basisschool De Barg;Mantingerbrink;203;7812 MD;EMMEN;Drenthe;0114;EMMEN;Openbaar;0591659854;www.obs-barg.nl;Mantingerbrink;203;7812 MD;EMMEN
