BEVOEGD GEZAG NUMMER;BEVOEGD GEZAG NAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;ADMINISTRATIEKANTOORNUMMER;SOORT PRIMAIR ONDERWIJS
10249;Gemeente Emmen;Raadhuisplein;1;7811 AP;EMMEN;0114;EMMEN;Openbaar;0591685555;www.openbaaronderwijsemmen.nl;Postbus;30001;7800 RA;EMMEN;   ;BO + SBO + SO + VSO
10426;Gemeente Hoogezand-Sappemeer, afdeling Schoolbestuur Openbaar Onderwijs;Gorecht-Oost;157;9603 AE;HOOGEZAND;0018;HOOGEZAND-SAPPEMEER;Openbaar;0598373737;www.hoogezand-sappemeer.nl;Postbus;75;9600 AB;HOOGEZAND;136;BO + SBO
10867;Gemeente Terschelling;Burg van Heusdenweg;10-A;8881 EB;WEST-TERSCHELLING;0093;TERSCHELLING;Openbaar;0562446244;www.terschelling.nl;Postbus;10098;9400 CB;ASSEN;   ;BO
10925;Gemeente Vlagtwedde;Dorpsstraat;1;9551 AB;SELLINGEN;0048;VLAGTWEDDE;Openbaar;0599320220;www.vlagtwedde.nl;Postbus;14;9550 AA;SELLINGEN;706;BO
10928;Gemeente Vlieland;Dorpsstraat;127;8899 AE;VLIELAND;0096;VLIELAND;Openbaar;0562452700;www.vlieland.nl;Postbus;10;8899 ZN;VLIELAND;948;BO
11711;Gemeente Noordenveld;Groene Zoom;16;9301 SJ;RODEN;1699;NOORDENVELD;Openbaar;0504065780;www.onderwijs-noordenveld.nl;Postbus;21;9300 AA;RODEN;948;BO + SBO
11764;Gemeente Eijsden-Margraten;Amerikaplein;1;6269 DA;MARGRATEN;1903;EIJSDEN-MARGRATEN;Openbaar;0434093055;www.eijsden-margraten.nl;Postbus;196;6400 AD;HEERLEN;401;BO
13308;Bestcom ex-art 61 Gemeentewet inzake Gieterveen;Bonnerveen;7-A;9511 PM;GIETERVEEN;1680;AA EN HUNZE;Algemeen bijzonder;0599647503;www.swsoostermoer.nl;Bonnerveen;7-A;9511 PM;GIETERVEEN;   ;BO
13622;Stichting Openbaar Primair Onderwijs Haarlemmermeer;Wilhelminalaan;55;2132 DV;HOOFDDORP;0394;HAARLEMMERMEER;Openbaar;0235640999;www.sopoh.eu;Wilhelminalaan;55;2132 DV;HOOFDDORP;   ;BO + SBO
13662;Stichting Openbaar Onderwijs Present;De Middend;104-108;1613 KZ;GROOTEBROEK;0532;STEDE BROEC;Openbaar;0228523857;www.openbaaronderwijspresent.nl;De Middend;104-108;1613 KZ;GROOTEBROEK;222;BO
13674;Stichting Openbaar Onderwijs Groep;Stadhuisplein;96;5461 KS;VEGHEL;0860;VEGHEL;Openbaar;0413321248;www.stichtingoog.nl;Postbus;4;5460 AA;VEGHEL;   ;BO
13682;Openbaar Primair Onderwijs Oegstgeest;Terweeweg;106;2341 CV;OEGSTGEEST;0579;OEGSTGEEST;Openbaar;0715150823;www.opoo.nl;Postbus;1194;2340 BD;OEGSTGEEST;953;BO
13683;Schoolbestuur voor primair en voortgezet onderwijs tussen Lauwers en Eems-stg;Noorderstraat;13;9989 AA;WARFFUM;1651;EEMSMOND;Openbaar;0595424955;www.lauwerseneems.nl;Postbus;10098;9400 CB;ASSEN;948;BO
13839;Bestuurscommissie Master Frankeskoalle voor Basisonderwijs te Eernewoude;Zetveld;38;9202 LM;DRACHTEN;0090;SMALLINGERLAND;Openbaar;0511539300;                                                                                ;Postbus;210;9200 AE;DRACHTEN;948;BO
13878;Bestuurscommissie Openbaar Basisonderwijs Ameland;Jelmeraweg;1;9162 EA;BALLUM;0060;AMELAND;Openbaar;0519555555;www.opo-ameland.nl;Postbus;22;9160 AA;HOLLUM;948;BO
20012;Vereniging voor Protestants Christelijk Basisonderwijs;Kerkplein;6;5314 AT;BRUCHEM;0297;ZALTBOMMEL;Protestants-Christelijk;0418642838;                                                                                ;Kerkplein;6;5314 AT;BRUCHEM;606;BO
20137;Stichting Speciaal Onderwijs de Bolster;Beelelaan;6;7383 BH;VOORST GEM VOORST;0285;VOORST;Protestants-Christelijk;0575509270;www.debolster.nl;Beelelaan;6;7383 BH;VOORST GEM VOORST;688;VSO
20183;Verenig. voor Chr. Onderwijs op Reformatorische Grondslag;Anna van Burenlaan;24;2404 GM;ALPHEN AAN DEN RIJN;0484;ALPHEN AAN DEN RIJN;Reformatorisch;0172472352;                                                                                ;Anna van Burenlaan;24;2404 GM;ALPHEN AAN DEN RIJN;165;BO
20210;Stichting Matthijsje;Oosterstreek;23;8388 NA;OOSTERSTREEK;0098;WESTSTELLINGWERF;Algemeen bijzonder;0561432690;www.schoolmatthijsje.nl;Postbus;8;8390 AA;NOORDWOLDE FR;940;BO
20233;Stichting Mytylschool Tilburg;Professor Stoltehof;1;5022 KE;TILBURG;0855;TILBURG;Rooms-Katholiek;          ;                                                                                ;Postbus;5022;5004 EA;TILBURG;401;SO + VSO
20243;Ver. Stg. Ned.-Herv. Chr. Scholen te Waddinxveen;Roemer Visscherstraat;21;2741 BC;WADDINXVEEN;0627;WADDINXVEEN;Protestants-Christelijk;0182617846;www.nhsbethel.nl;Roemer Visscherstraat;21;2741 BC;WADDINXVEEN;165;BO
20252;Vereniging Jenaplanonderwijs Oudewater;De Cope;26;3421 XL;OUDEWATER;0589;OUDEWATER;Algemeen bijzonder;0348564490;www.klavertje4oudewater.nl;Postbus;59190;3008 PD;ROTTERDAM;950;BO
20281;Stichting Lucas Onderwijs;Saffierhorst;105;2592 GK;'S-GRAVENHAGE;0518;S GRAVENHAGE;Samenwerking PC, RK;0703001100;www.lucasonderwijs.nl;Postbus;93231;2509 AE;'S-GRAVENHAGE;034;BO + SBO + SO + VSO
20450;Ver. Bas.ond. Op Ger. Grondsl. te Aagtekerke;Prelaatweg;22;4363 NE;AAGTEKERKE;0717;VEERE;Protestants-Christelijk;0118582693;www.versluijsschool.nl;Prelaatweg;22;4363 NE;AAGTEKERKE;165;BO
