BRIN;VESTNR;naam;plaats;SCHOOLJAAR_2013;TOETS_2013;VERSIE_BL_2013;VERSIE_RW_2013;N_AFN_2013;N_AFN_2013_rw;N_DLN_2013;N_DLN_2013_rw;SCORE_2013;SCORE_2013_rw;SCHOOLJAAR_2012;TOETS_2012;VERSIE_BL_2012;VERSIE_RW_2012;N_AFN_2012;N_AFN_2012_rw;N_DLN_2012;N_DLN_2012_rw;SCORE_2012;SCORE_2012_rw;SCHOOLJAAR_2011;TOETS_2011;VERSIE_BL_2011;VERSIE_RW_2011;N_AFN_2011;N_AFN_2011_rw;N_DLN_2011;N_DLN_2011_rw;SCORE_2011;SCORE_2011_rw;DE_special_SCORE_2012;DE_special_SCORE_2012_rw;DE_SPECIAL_SCORE_2011;DE_SPECIAL_SCORE_2011_rw;status;gew03;gew12;ARUBA;DEMOLUKSEEILANDEN;GIEKENLAND;ITALIE;KAAPVERDIE;MAROKKO;NEDERLANDSEANTILLEN;NIETENGELSTALIGEN;PORTUGAL;SPANJE;SURINAME;TUNESIE;TURKIJE;VLUCHTELINGEN;VMLJOEGOSLAVIE;deelnaamper;waretoets;PRE_1;RES_1;verwacht;toegevoegd;waretoets1
00AP;0,00;Basisschool De Schanskorf;Zoetermeer;2013,00;cito;;;13,00;;13,00;;538,10;;2012,00;cito;;;10,00;;10,00;;539,00;;2011,00;cito;;;6,00;;6,00;;539,40;;;;;;4,95;0,00;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;2,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;1,19;0,57;0,62;536,33;2,52;538,85
00AR;0,00;basisschool De Maasparel;Stevensweert;2013,00;cito;;;25,00;;25,00;;534,70;;2012,00;;;;-1,00;;-1,00;;;;2011,00;cito;;;25,00;;24,00;;534,50;;;;;;22,50;0,09;0,01;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,6%;0,0%;0,0%;98,00;0,13;0,39;-0,26;535,60;-1,07;534,53
00AV;0,00;De Morgenster;Spijkenisse;2013,00;cito;;;7,00;;7,00;;531,30;;2012,00;cito;;;11,00;;11,00;;536,70;;2011,00;cito;;;7,00;;7,00;;538,40;;;;;;1,35;0,17;0,03;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;0,38;-0,16;0,55;533,35;2,22;535,57
00AZ;0,00;basisschool De Kiezel en De Kei;Bleskensgraaf Ca;2013,00;cito;;;6,00;;6,00;;529,90;;2012,00;cito;;;11,00;;11,00;;534,10;;2011,00;cito;;;15,00;;15,00;;531,50;;;;;;24,41;0,12;0,06;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;4,1%;0,0%;100,00;-0,52;0,16;-0,68;534,66;-2,78;531,88
00BA;0,00;Basisschool De Klimboom;Heteren;2013,00;cito;;;15,00;;15,00;;534,10;;2012,00;cito;;;13,00;;13,00;;538,70;;2011,00;cito;;;17,00;;15,00;;534,00;;;;;;18,28;0,03;0,01;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;95,56;0,34;0,56;-0,22;536,29;-0,90;535,39
00BB;0,00;o.b.s. Letterwies;Nieuwolda;2013,00;cito;;;16,00;;16,00;;523,70;;2012,00;cito;;;14,00;;15,00;;531,30;;2011,00;entree;;;16,00;;16,00;;276,30;;;;;;6,63;0,20;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,8%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;-1,51;-0,16;-1,35;533,35;-5,50;527,85
00BS;0,00;De Planthof;Nieuwleusen;2013,00;SEO;;;16,00;;16,00;;0,26;;2012,00;seo;;;19,00;;19,00;;0,25;;2011,00;seo;;;12,00;;11,00;;2,53;;;;;;24,33;0,00;0,02;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;4,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;97,87;0,93;0,70;0,23;536,87;0,92;537,78
00BW;0,00;jenaplanschool De Vlieger;Sittard;2013,00;cito;;;16,00;;17,00;;534,70;;2012,00;cito;;;18,00;;18,00;;536,60;;2011,00;cito;;;19,00;;19,00;;536,80;;;;;;14,81;0,00;0,03;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;0,51;0,61;-0,10;536,48;-0,42;536,06
00CD;0,00;Basisschool De Lockaert;Oss;2013,00;cito;;;31,00;;34,00;;535,50;;2012,00;cito;;;26,00;;26,00;;533,20;;2011,00;cito;;;32,00;;33,00;;533,60;;;;;;12,90;0,04;0,01;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;2,1%;0,0%;0,0%;100,00;0,01;0,47;-0,46;535,91;-1,86;534,05
00CG;0,00;OBS Harlekijn;Landgraaf;2013,00;cito;;;41,00;;41,00;;534,10;;2012,00;cito;;;55,00;;54,00;;539,20;;2011,00;cito;;;55,00;;54,00;;533,90;;;;;;18,25;0,07;0,05;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;1,3%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;98,68;0,42;0,34;0,08;535,37;0,34;535,71
