BRIN NUMMER;VESTIGINS NUMMER;BEVOEGD GEZAG NUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;DENOMINATIE;GEWICHT;JONGER;LEEFTIJD 4;LEEFTIJD 5;LEEFTIJD 6;LEEFTIJD 7;LEEFTIJD 8;LEEFTIJD 9;LEEFTIJD 10;LEEFTIJD 11;LEEFTIJD 12;LEEFTIJD 13;LEEFTIJD 14;TOTAAL
00AP;00;41646;De Schanskorf;ZOETERMEER;0637;Zoetermeer;Zuid-Holland;GEV;0.00;0;12;11;11;12;16;12;11;8;3;0;0;96
00AR;00;41797;"BS ""De Maasparel""";OHE EN LAAK;1641;Maasgouw;Limburg;RK;0.00;0;23;18;15;20;18;18;17;6;0;0;0;135
00AR;00;41797;"BS ""De Maasparel""";OHE EN LAAK;1641;Maasgouw;Limburg;RK;0.30;0;0;0;0;0;0;1;2;3;1;0;0;7
00AR;00;41797;"BS ""De Maasparel""";OHE EN LAAK;1641;Maasgouw;Limburg;RK;1.20;0;0;0;0;0;0;1;0;0;0;0;0;1
00AV;00;41646;De Morgenster;SPIJKENISSE;0612;Spijkenisse;Zuid-Holland;GEV;0.00;0;8;4;6;7;5;7;3;6;0;0;0;46
00AV;00;41646;De Morgenster;SPIJKENISSE;0612;Spijkenisse;Zuid-Holland;GEV;0.30;0;1;2;5;1;1;0;0;0;0;0;0;10
00AV;00;41646;De Morgenster;SPIJKENISSE;0612;Spijkenisse;Zuid-Holland;GEV;1.20;0;0;0;0;0;1;1;0;0;0;0;0;2
00AZ;00;41638;De Kiezel en de Kei;BLESKENSGRAAF CA;1927;Molenwaard;Zuid-Holland;OPB;0.00;0;8;4;11;9;6;9;8;11;1;0;0;67
00AZ;00;41638;De Kiezel en de Kei;BLESKENSGRAAF CA;1927;Molenwaard;Zuid-Holland;OPB;0.30;0;0;0;0;1;1;3;1;0;0;0;0;6
00AZ;00;41638;De Kiezel en de Kei;BLESKENSGRAAF CA;1927;Molenwaard;Zuid-Holland;OPB;1.20;0;1;0;0;1;1;0;1;1;1;0;0;6
00BA;00;41530;OBS De Klimboom;HETEREN;1734;Overbetuwe;Gelderland;OPB;0.00;0;10;16;14;3;16;18;9;21;2;0;0;109
00BA;00;41530;OBS De Klimboom;HETEREN;1734;Overbetuwe;Gelderland;OPB;0.30;0;1;0;0;0;0;1;0;1;1;0;0;4
00BB;00;41613;Obs Letterwies;NIEUWOLDA;1895;Oldambt;Groningen;OPB;0.00;0;9;6;9;17;13;8;20;6;1;0;0;89
00BB;00;41613;Obs Letterwies;NIEUWOLDA;1895;Oldambt;Groningen;OPB;0.30;0;1;2;1;1;2;2;1;3;0;1;0;14
00BS;00;41168;Geref Basisschool;NIEUWLEUSEN;0148;Dalfsen;Overijssel;GEV;0.00;0;15;18;15;15;20;14;15;9;3;0;0;124
00BS;00;41168;Geref Basisschool;NIEUWLEUSEN;0148;Dalfsen;Overijssel;GEV;0.30;0;1;0;0;0;0;0;0;0;0;0;0;1
00BS;00;41168;Geref Basisschool;NIEUWLEUSEN;0148;Dalfsen;Overijssel;GEV;1.20;0;0;0;0;0;0;1;0;1;0;0;0;2
00BW;00;41516;Jenaplanschool De Vlieger;SITTARD;1883;Sittard-Geleen;Limburg;ABZ;0.00;0;11;12;10;10;7;10;11;10;5;0;0;86
00CD;00;80628;Lockaert;OSS;0828;Oss;Noord-Brabant;ABZ;0.00;0;22;23;24;15;23;18;29;13;2;0;0;169
00CD;00;80628;Lockaert;OSS;0828;Oss;Noord-Brabant;ABZ;0.30;0;1;0;2;0;1;1;1;1;0;0;0;7
00CD;00;80628;Lockaert;OSS;0828;Oss;Noord-Brabant;ABZ;1.20;0;1;0;0;0;1;0;1;0;0;0;0;3
00CG;00;41516;De Harlekijn;LANDGRAAF;0882;Landgraaf;Limburg;OPB;0.00;0;47;43;41;30;40;51;39;35;10;0;0;336
00CG;00;41516;De Harlekijn;LANDGRAAF;0882;Landgraaf;Limburg;OPB;0.30;0;3;2;3;4;1;4;3;6;1;0;0;27
00CG;00;41516;De Harlekijn;LANDGRAAF;0882;Landgraaf;Limburg;OPB;1.20;0;0;2;4;1;1;1;1;4;1;0;0;15
00CS;00;41025;De Leilinde;WINSCHOTEN;1895;Oldambt;Groningen;GEV;0.00;0;14;12;9;10;15;12;7;12;0;0;0;91
00CS;00;41025;De Leilinde;WINSCHOTEN;1895;Oldambt;Groningen;GEV;0.30;0;0;0;0;0;0;0;1;0;0;0;0;1
00CU;00;41246;Basisschool Zilverlinde;ROOSENDAAL;1674;Roosendaal;Noord-Brabant;ASF;0.00;0;8;9;6;3;11;11;13;12;2;0;0;75
00CV;00;20210;School Matthijsje;OOSTERSTREEK;0098;Weststellingwerf;Friesland;ABZ;0.00;0;7;4;9;3;9;4;5;12;1;0;0;54
