BRIN_NUMMER,SCHOOLGEWICHT,Normaliseerd gewicht,TOTAAL_MI,Kostprijs
00AP,0,0,73514.91,782.0735106
00AR,0,0,101109.79,674.0652667
00AV,2,0.034482759,55377.37,954.7822414
00AZ,4,0.051948052,68383.29,888.0946753
00BA,0,0,86831.27,742.1476068
00BB,0,0,84247.11,772.9092661
00BS,0,0,94022.91,740.337874
00BW,0,0,73797.05,776.8110526
00CD,0,0,123339.95,645.7589005
00CG,6,0.016172507,218836.31,589.855283
00CS,0,0,71480.77,821.618046
00CU,0,0,66552.41,937.3578873
00CV,0,0,56604.53,912.9762903
00CY,8,0.103896104,39924.76,518.5033766
00DA,0,0,67962.4,906.1653333
00DD,5,0.017605634,172171.95,606.2392606
00DM,0,0,108513.81,682.4767925
00DN,0,0,102697.97,662.5675484
00DO,0,0,104305.87,651.9116875
00DW,0,0,116060.31,634.2093443
00DX,0,0,112234.73,660.2042941
00DY,0,0,73667.21,775.4443158
00DZ,0,0,53134.51,1041.853137
00EB,0,0,135909.57,626.3113825
00EI,1,0.007462687,96130.47,717.3915672
00FE,0,0,68081.43,895.8082895
00FG,0,0,72386.35,804.2927778
00FI,4,0.018957346,134287.41,636.4332227
00FQ,0,0,80774.35,824.2280612
00GQ,0,0,111893.43,662.0913018
00GR,0,0,64007.69,1000.120156
00GU,0,0,47399.17,1436.338485
00GV,0,0,124711.21,636.2816837
00GX,0,0,102469.53,661.0937419
00GZ,0,0,83643.39,781.7139252
00HA,0,0,162831.45,596.4521978
00HH,3,0.02970297,82060.67,812.4818812
00HZ,0,0,139117.17,612.8509692
00IF,0,0,88775.01,715.9275
00IJ,0,0,180925.97,603.0865667
00IM,0,0,72761.63,790.8872826
01VE,0,0,82946.53,797.5627885
01VG,0,0,176917.69,670.1427652
01VI,0,0,123077.53,647.7764737
01VQ,0,0,233905.15,578.9731436
01VR,0,0,138973.07,614.9250885
01VY,1,0.003663004,163079.61,597.3612088
01WQ,0,0,68837.45,871.3601266
01WR,0,0,48606.61,1350.183611
01WU,0,0,214070.15,577.0084906
01XH,11,0.085271318,94626.63,733.5397674
01XU,0,0,233504.69,579.4161042
02ZF,0,0,64309.55,989.3776923
02ZG,9,0.1875,52457.37,1092.861875
02ZW,0,0,107326.09,692.4263871
02ZY,0,0,144972.45,627.5863636
03AG,0,0,112136.13,659.6242941
03AH,0,0,159536.17,608.9166794
03AI,0,0,70194.45,845.7162651
03AN,0,0,48304.75,1380.135714
03AP,12,0.111111111,84469.49,782.1249074
03AX,0,0,40812.73,1407.335517
03AZ,0,0,94003.19,740.1825984
03BA,0,0,80190.35,835.3161458
03BR,5,0.034482759,99876.57,688.803931
03BS,1,0.006802721,104761.65,712.6642857
