BRIN,financieel,overig
05WS,Basistoezicht,Basistoezicht
08CL,Basistoezicht,Basistoezicht
05WM,Basistoezicht,Basistoezicht
08CJ,Basistoezicht,Basistoezicht
05WB,Basistoezicht,Basistoezicht
05VY,Basistoezicht,Basistoezicht
14DG,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
05VW,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
05VV,Basistoezicht,Basistoezicht
05VU,Basistoezicht,Basistoezicht
08CF,Basistoezicht,Basistoezicht
08AV,Basistoezicht,Basistoezicht
05TG,Basistoezicht,Basistoezicht
05RL,Basistoezicht,Basistoezicht
07ZE,Basistoezicht,Basistoezicht
05OY,Basistoezicht,Basistoezicht
04FM,Basistoezicht,Basistoezicht
04FB,Basistoezicht,Basistoezicht
23PE,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
16YG,Basistoezicht,Basistoezicht
16XM,Basistoezicht,Basistoezicht
16WG,Basistoezicht,Basistoezicht
15LQ,Basistoezicht,Basistoezicht
15FT,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15FT,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15AL,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
14KW,Basistoezicht,Basistoezicht
14FM,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
06WU,Basistoezicht,Basistoezicht
04LP,Basistoezicht,Basistoezicht
12PA,Basistoezicht,Basistoezicht
12GA,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
09YG,Basistoezicht,Basistoezicht
09BP,Basistoezicht,Basistoezicht
07XP,Basistoezicht,Basistoezicht
07DI,Basistoezicht,Basistoezicht
07CT,Basistoezicht,Basistoezicht
05ME,Basistoezicht,Basistoezicht
27XA,Basistoezicht,Basistoezicht
22LK,Basistoezicht,Geen oordeel, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
16EC,Geen oordeel,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15VH,Basistoezicht,Basistoezicht
15SZ,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15SZ,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15NZ,Basistoezicht,Basistoezicht
12PH,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
12GN,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
08UU,Basistoezicht,Basistoezicht
07IR,Basistoezicht,Basistoezicht
04MZ,Basistoezicht,Basistoezicht
04KC,Basistoezicht,Basistoezicht
14CR,Basistoezicht,Basistoezicht
13ZJ,Basistoezicht,Basistoezicht
13SF,Basistoezicht,Basistoezicht
13NV,Basistoezicht,Basistoezicht
13IV,Basistoezicht,Basistoezicht
27PD,Basistoezicht,Basistoezicht
27CK,Basistoezicht,Basistoezicht
27CF,Basistoezicht,Basistoezicht
12XN,Basistoezicht,Basistoezicht
12HQ,Basistoezicht,Basistoezicht
11YJ,Basistoezicht,Basistoezicht
04UW,Basistoezicht,Basistoezicht
04ND,Basistoezicht,Basistoezicht
29XP,Basistoezicht,Basistoezicht
26AT,Basistoezicht,Basistoezicht
09AM,Basistoezicht,Basistoezicht
07VK,Basistoezicht,Basistoezicht
05IS,Basistoezicht,Basistoezicht
05IH,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
06XJ,Basistoezicht,Basistoezicht
06WX,Basistoezicht,Basistoezicht
27XK,Basistoezicht,Basistoezicht
24PA,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15FO,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15FO,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
14KP,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
14HY,Basistoezicht,Basistoezicht
14FG,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
14CL,Basistoezicht,Basistoezicht
13NX,Basistoezicht,Basistoezicht
13DM,Basistoezicht,Basistoezicht
12XS,Basistoezicht,Basistoezicht
11OS,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
11BY,Basistoezicht,Basistoezicht
10MO,Basistoezicht,Basistoezicht
09TC,Basistoezicht,Basistoezicht
08UY,Basistoezicht,Basistoezicht
07ZC,Basistoezicht,Basistoezicht
06NO,Basistoezicht,Basistoezicht
05SR,Basistoezicht,Basistoezicht
04FI,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
03WW,Basistoezicht,Zwak
11MQ,Basistoezicht,Basistoezicht
06VN,Basistoezicht,Basistoezicht
06VD,Basistoezicht,Basistoezicht
06UW,Basistoezicht,Basistoezicht
