BRIN_NUMMER,TOTAAL,Totale kosten per Leerling
00AP,384869.66,4094.358085
00AR,536667.35,3577.782333
00AV,347560.92,5992.429655
00AZ,366585.69,4760.853117
00BA,460509.32,3935.977094
00BB,492647.89,4105.399083
00BS,478439.17,3767.237559
00BW,392769.07,4134.411263
00CD,712239.2,3729.001047
00CG,1336941.14,3603.614933
00CS,381761.13,4388.058966
00CU,369001.37,5197.202394
00CV,332646.1,5365.259677
00DA,344342.33,4591.231067
00DD,991020.82,3489.50993
00DM,588796.68,3703.123774
00DN,557105.9,3594.231613
00DO,551850.43,3449.065188
00DW,669258.81,3657.151967
00DX,659394.29,3878.789941
00DY,392035.04,4126.684632
00DZ,299969.92,5881.763137
00EB,797340.64,3674.380829
00EI,490335.92,3659.223284
00FE,340121.91,4475.288289
00FG,416658.52,4629.539111
00FI,768147.15,3640.50782
00FQ,425431.74,4341.140204
00GQ,600190.08,3551.420592
00GR,322827.13,5044.173906
00GU,235558.85,7138.14697
00GV,693758.92,3539.586327
00GX,580151.05,3742.91
00GZ,450773.86,4212.839813
00HA,911359.89,3338.314615
00HH,461203.93,4566.375545
00HZ,764777.08,3369.062026
00IF,454867.32,3668.284839
00IJ,1035374.25,3451.2475
00IM,369404.21,4015.263152
01VE,427031.6,4106.073077
01VG,966088.66,3659.426742
01VI,1304500.8,3727.145143
01VQ,1338783.44,3313.820396
01VR,839101.56,3712.838761
01VY,958107.28,3509.550476
01WQ,343226.18,4344.63519
01WR,249339.02,6926.083889
01WU,1317895.86,3552.279946
01XH,543587.32,4213.855194
01XU,1341555.13,3328.920918
02ZF,311264.01,4788.677077
02ZG,306953.58,6394.86625
02ZW,571564.53,3687.513097
02ZY,809428.85,3504.020996
03AG,615214.94,3618.911412
03AH,916902.9,3499.629389
03AI,385872.64,4649.067952
03AN,237694.29,6791.265429
03AP,438419.54,4059.440185
03AX,244666.99,8436.792759
03AZ,481371.52,3790.326929
03BA,410907.62,4280.287708
03BR,544504.73,3755.205034
03BS,520687.34,3542.090748
03BT,349706.45,5142.741912
03BU,504900.44,4590.004
03BV,759430.77,3548.741916
03BW,420470.42,4889.19093
03BX,805507.87,3564.194115
03BY,476575.33,4293.471441
03CJ,657335.08,3844.064795
03CL,369009.52,4612.619
03CO,372492.8,4837.568831
03CS,300055.53,5661.425094
03CT,453455.74,4534.5574
03CU,344467.41,5299.498615
03CV,338163.87,4174.862593
03CW,723909.68,4066.908315
03DF,328648.43,5300.781129
03DG,359253.54,4727.020263
03DH,566012.98,3675.408961
03DJ,434752.78,4436.252857
03DK,530640.08,3710.76979
03DV,706599.74,3778.608235
03DW,479967.32,4705.561961
03DX,1388433.59,3596.978212
03EE,459686.94,3862.915462
03EH,502167.43,5399.649785
03EI,407409.73,4428.36663
03EJ,366437.67,10777.57853
03ES,323426.05,4430.493836
03ET,290729.11,5700.570784
03EU,1541737.43,3568.836644
03EV,746328.62,3244.907043
03FH,428246.45,4414.911856
03FJ,997819.23,3793.989468
03FQ,285313.52,5283.583704
03FS,549885.79,3665.905267
03FT,1074858.06,3582.8602
03FU,760626.11,3710.371268
03GD,578278.7,3421.767456
03GE,924266.6,4788.946114
03GJ,461788.91,4236.595505
03GL,342569.5,5190.44697
03GP,349649.12,5218.643582
03GR,1144861.91,3555.47177
03GT,491407.85,4236.274569
03GW,790865.13,4851.933313
03HA,1510525.42,3554.177459
03HB,889693.41,3295.160778
03HC,322343.56,6320.461961
03HD,1418570.5,3520.026055
03HE,1009538.97,3225.364121
03HF,1166886.01,3764.148419
03HG,730573.73,4014.141374
03HH,739163.25,3553.669471
03HI,370742.94,3861.905625
03HK,917673.76,3543.141931
03HL,1166380.64,3440.650855
03HM,688140.31,3823.001722
03HO,331848.39,4309.719351
03HP,814137.05,3243.573904
03HQ,572540.07,3512.515767
03HR,800991.1,3869.522222
03HS,415394.35,4372.572105
03HU,1811622.9,3270.077437
03HV,1164486.8,3768.565696
03HY,1272760.09,3197.889673
03HZ,271301.52,6459.56
03IA,442444.2,3915.435398
03IB,317288.33,4957.630156
03IC,454547.19,3787.89325
03ID,282493.68,5231.364444
03IH,1201484.88,3472.499653
03IK,1063381.65,3323.067656
03IV,1101843.13,3624.48398
03IW,895436.41,3684.923498
03IX,983333.83,4030.05668
03IY,2101485.11,3712.871219
03IZ,728960.25,3663.116834
03JB,347065.95,4958.085
03JC,2006284.18,4197.247238
03JD,692421.4,3550.878974
03JE,597335.5,3598.406627
03JG,563248.31,3938.799371
03JH,1197912.25,3374.400704
03JI,595732.3,4137.029861
03JL,1001000.69,4205.885252
03JP,662018.09,3540.20369
03JQ,726239.96,3409.577277
03JS,1315321.72,3507.524587
03JW,636121.02,3573.713596
03JX,481113.5,3788.295276
03KA,777937.1,3472.933482
03KF,1496503.72,3496.504019
03KI,561393.11,3669.236013
03KJ,710833.86,3518.979505
03KM,571785.17,3465.364667
03KP,553045.29,3736.7925
03KR,498120.46,4017.100484
03KS,711199.87,3402.870191
03KT,693488.39,3538.206071
03KV,794957.38,3354.250549
03KW,1173638.47,3334.200199
03KX,647788.25,3482.732527
03LA,816421.64,3565.16
03LC,383790.19,4171.6325
03LD,1302367.88,3699.90875
03LE,612198.31,3644.03756
03LJ,451431.39,3994.968053
03LK,1002880.87,3902.260195
03LN,1168344.39,3115.58504
03LQ,1741817.56,3132.765396
03LR,376025.87,4372.393837
03LS,789693.99,3389.244592
03LT,979026.6,3560.096727
03LX,2259555.87,3347.490178
03LY,2901259.98,3373.558116
03MA,485008.75,3415.554577
03MF,1230638.34,3476.379492
03MH,490609.53,3661.265149
03MI,797425.55,3575.899327
03MJ,389623.13,4189.496022
03MK,2092662.29,3441.878766
03ML,1020049.03,3422.983322
03MO,677211.99,3741.502707
03MQ,572892.92,4063.070355
03MR,1717843.1,3342.107198
03MT,421300.11,4130.393235
03MW,734255.74,5244.683857
03MX,1026424.6,3539.395172
03NB,1295557.6,3409.362105
03NC,1661247.17,3659.134736
03NE,1143188.84,3382.215503
03NF,818115.65,3572.557424
03NH,263144.24,6924.848421
03NI,1257158.65,3453.732555
03NJ,828411.18,3601.787739
03NN,1160376.24,3363.409391
03NO,468986.22,3908.2185
03NP,693488.94,3611.921563
03NQ,978409.58,3519.458921
03NR,371415.51,4318.785
03NT,1090770.61,3507.300997
03NU,777940.25,3382.348913
03NW,2581091.55,3300.628581
03NX,469482.33,3912.35275
03NY,644500.91,3392.110053
03NZ,520994.33,3694.995248
03OA,364849.76,4930.402162
03OB,708743.28,3561.52402
03OC,507914.62,3999.327717
03OJ,2032443.87,3342.835313
03OK,1234691.52,4143.260134
03OM,1159646.4,3514.08
03ON,688815.23,5218.297197
03OP,947729.99,4988.052579
03OR,564859.14,3922.632917
03OT,998224.73,4686.50108
03OU,1121351.74,3504.224188
03PC,508078.76,4198.998017
03PD,1020443.85,3459.131695
03PF,1366366.27,3476.758957
03PH,1100649.18,3376.224479
03PJ,541489.25,3760.342014
03PK,484784.96,3758.022946
03PL,397175.36,4462.644494
03PM,884156.02,3480.929213
03PN,347650.19,4457.053718
03PP,790436.38,3544.557758
03PQ,962053.15,3616.741165
03PS,798228.87,3547.683867
03PV,749401.18,3437.620092
03PW,837068.3,3623.672294
03PX,756538.4,3377.403571
03PY,1769201.05,3524.30488
03QA,1325001.69,3640.114533
03QB,440852.65,4364.877723
03QC,356463.96,4400.78963
03QD,713644.93,3586.155427
03QE,443971.27,3894.484825
03QF,395353.98,4442.179551
03QH,259011.42,6166.938571
03QI,473496.71,4117.362696
03QJ,719107.36,3507.84078
03QK,436305.78,4195.247885
03QL,577754.63,3610.966438
03QM,333899.81,4983.579254
03QN,552794.32,3660.889536
03QO,877470.54,3782.200603
03QP,377582.21,4604.661098
03QQ,982457.63,3883.231739
03QR,1447255.44,3289.216909
03QS,779947.77,3678.998915
03QT,533124.14,3626.69483
03QW,664775.33,4103.55142
03QY,1802981.29,3507.7457
03QZ,1055514.7,3530.149498
03RA,562896.46,3992.173475
03RC,502669.02,3723.474222
03RD,603090.8,3677.382927
03RE,590412.82,3760.59121
03RG,475716.73,4247.470804
03RK,766696.65,3348.020306
03RL,1408164.58,3547.014055
03RN,1269298.89,3636.95957
03RO,960601.87,3666.419351
03RP,356621.24,5322.705075
03RQ,1159710.63,3230.391727
03RS,714518.44,3780.520847
03RT,466266.64,4238.787636
03RV,462096.73,4239.419541
03RW,350487.69,4274.240122
03RX,991319.26,3812.766385
03RY,837503.23,3460.757149
03RZ,973086.52,3564.419487
03SB,682481.69,3729.408142
03SC,526591.3,3843.732117
03SE,452261.34,4307.250857
03SF,372006.44,4708.942278
03SG,261378.49,8712.616333
03SH,522953.24,3931.979248
03SJ,660153.19,3568.395622
03SK,926911.55,4413.864524
03SL,476783.28,3243.423673
03SM,447255.84,4300.536923
03SN,478389.02,3921.221475
03SO,761099.55,3491.282339
03SR,944326.48,4454.370189
03ST,1066187.62,3484.273268
03SV,413542.21,3938.497238
03SW,620098.19,3543.418229
03SY,835255.72,3762.413153
03SZ,219979.76,7332.658667
03TA,655024.48,3559.915652
03TB,1089149.53,3330.732508
03TC,977635.04,3703.16303
03TD,826734.14,3280.691032
03TF,1571974.49,3564.568005
03TG,740192.43,3610.69478
03TH,475280.1,3927.934711
03TJ,542278.97,3765.826181
03TL,1083053.01,3586.268245
03TM,950617.44,3507.813432
03TN,914696.26,3587.044157
03TO,552022.98,3493.816329
03TP,739882.67,3644.742217
03TQ,1763962.55,3499.925694
03TR,757262.38,3588.921232
03TS,736313.92,4136.595056
03TT,892170.43,3485.040742
03TW,703553.66,3683.527016
03TX,329471.32,5780.198596
03TY,681258.21,3511.640258
03TZ,603894.82,3637.920602
03UA,517305.52,3775.952701
03UB,1291143.11,3397.745026
03UC,462526.49,4490.548447
03UE,300511.84,5272.137544
03UG,830595.8,3741.422523
03UJ,765626.45,3448.767793
03UL,1249023.01,3548.360824
03UM,422025.87,3802.034865
03UN,480700.2,4143.967241
03UQ,466422.12,3886.851
03UR,934900.53,3666.276588
03US,972478.11,3400.273112
03UU,392057.66,4041.831546
03UW,483549.76,3663.255758
03UX,615794.99,3539.051667
03UY,717211.5,3498.592683
03UZ,1237565.35,3418.688812
03VA,504642.98,3579.028227
03VB,1573954.75,3569.05839
03VC,887642.4,3998.389189
03VD,691875.76,3680.190213
03VE,413381.49,4092.88604
03VG,736786.75,3594.081707
03VH,825923.71,3806.100046
03VI,485929.41,3681.283409
03VJ,267337.78,5346.7556
03VK,1577931.22,3721.535896
03VL,299255.09,5541.760926
03VP,1494214.85,3583.249041
03VQ,476924.19,6275.318289
03VR,1546468.63,3530.750297
03VS,697815.27,3524.319545
03VT,604998.37,3734.55784
03VV,304418.84,5743.751698
03VW,1090699.51,3440.692461
03VX,701805.15,3835.00082
03VZ,374273.56,4112.896264
03WD,615372.62,3775.292147
03WE,1711241.02,3572.528225
03WF,421904.39,3943.031682
03WG,420505.79,4163.423663
03WH,982606.55,3599.291392
03WI,479187.61,3549.537852
03WK,505995.01,3465.719247
03WL,560661.73,3737.744867
03WM,493147.86,3852.717656
03WN,366118.68,4464.861951
03WT,374055.1,4110.495604
03WU,466953.42,5131.356264
03WV,486099.3,3682.570455
03WW,818974.53,4379.542941
03WX,1770348.5,3417.661197
03WY,763424.12,3779.327327
03WZ,620535.72,4562.762647
03XA,1136798.95,3530.431522
03XB,1079067.73,3645.499088
03XC,418858.78,4363.112292
03XD,341005.78,4736.191389
03XE,543140.4,3694.832653
03XH,508376.6,3657.385612
03XI,913881.94,3372.258081
03XJ,1140971.16,3728.663922
03XN,1125498.18,3561.703101
03XO,1256816.97,3785.593283
03XP,739796.57,3833.14285
03XQ,605106.91,3580.51426
03XT,399700.95,4491.02191
03XV,1035722.23,3534.888157
03XW,925230.44,3686.177052
03XX,586988.99,3762.749936
03XY,751968.92,3632.700097
03XZ,1661896.5,3597.178571
03YB,493279.43,3946.23544
03YC,609483.54,3785.61205
03YG,669611.33,3740.845419
03YH,390811.2,4492.082759
03YI,492417.36,3620.715882
03YJ,980970.13,3371.031375
03YL,916713.27,3433.383034
03YM,595147.59,3440.15948
03YN,1121274.94,3493.068349
03YO,577855.72,3439.617381
03YP,311830.18,5285.257288
03YR,292622.28,5971.883265
03YS,770503.36,3600.482991
03YW,657684.17,3613.649286
03YY,370605.96,4691.214684
03YZ,425906.25,3802.734375
03ZB,391395.15,6416.313934
03ZC,330585.45,5165.397656
