BRIN_NUMMER,POSTCODE_LEERLING,VESTIGINGSNUMMER,POSTCODE_VESTIGING,TOTAAL  
02YR,9501,5,9901CE,1
02YR,9502,5,9901CE,1
02YR,9628,5,9901CE,1
02YR,9679,5,9901CE,1
02YR,9682,5,9901CE,1
02YR,9792,5,9901CE,1
02YR,9795,5,9901CE,1
02YR,9902,5,9901CE,5
02YR,9903,5,9901CE,1
02YR,9909,5,9901CE,2
02YR,9919,5,9901CE,1
02YR,9931,5,9901CE,3
02YR,9932,5,9901CE,7
02YR,9933,5,9901CE,2
02YR,9934,5,9901CE,2
02YR,9946,5,9901CE,1
02YR,9981,5,9901CE,2
02YR,9982,5,9901CE,2
02YR,9987,5,9901CE,1
02YR,9989,5,9901CE,1
02YR,9991,5,9901CE,4
06NH,9625,0,9903AA,4
06NH,9901,0,9903AA,63
06NH,9902,0,9903AA,12
06NH,9903,0,9903AA,70
06NH,9904,0,9903AA,1
06NH,9911,0,9903AA,1
06NH,9932,0,9903AA,1
10DR,9365,0,9902LC,1
10DR,9901,0,9902LC,5
10DR,9902,0,9902LC,116
10DR,9903,0,9902LC,2
10HK,9901,0,9902LC,14
10HK,9902,0,9902LC,155
10HK,9903,0,9902LC,1
10HK,9907,0,9902LC,1
10HK,9909,0,9902LC,1
10HK,9917,0,9902LC,1
10HK,9936,0,9902LC,1
10VH,9625,0,9903ET,4
10VH,9629,0,9903ET,1
10VH,9901,0,9903ET,126
10VH,9902,0,9903ET,57
10VH,9903,0,9903ET,154
10VH,9908,0,9903ET,3
10VH,9911,0,9903ET,4
10VH,9912,0,9903ET,1
10VH,9917,0,9903ET,2
10VH,9918,0,9903ET,1
10VH,9932,0,9903ET,1
10VH,9939,0,9903ET,2
11UY,9629,0,9902HJ,2
11UY,9901,0,9902HJ,9
11UY,9902,0,9902HJ,92
11UY,9903,0,9902HJ,4
11UY,9905,0,9902HJ,1
11UY,9932,0,9902HJ,2
11UY,9933,0,9902HJ,1
11UY,9939,0,9902HJ,5
11UY,9946,0,9902HJ,2
11UY,9948,0,9902HJ,1
19RA,9621,0,9901CE,1
19RA,9628,0,9901CE,3
19RA,9681,0,9901CE,1
19RA,9792,0,9901CE,1
19RA,9901,0,9901CE,5
19RA,9902,0,9901CE,21
19RA,9903,0,9901CE,5
19RA,9904,0,9901CE,1
19RA,9905,0,9901CE,2
19RA,9906,0,9901CE,1
19RA,9909,0,9901CE,5
19RA,9913,0,9901CE,1
19RA,9915,0,9901CE,4
19RA,9919,0,9901CE,3
19RA,9921,0,9901CE,1
19RA,9931,0,9901CE,4
19RA,9932,0,9901CE,11
19RA,9933,0,9901CE,2
19RA,9934,0,9901CE,6
19RA,9936,0,9901CE,3
19RA,9937,0,9901CE,2
19RA,9939,0,9901CE,1
19RA,9944,0,9901CE,1
19RA,9945,0,9901CE,5
19RA,9946,0,9901CE,1
19RA,9947,0,9901CE,3
19RA,9948,0,9901CE,1
19RA,9981,0,9901CE,2
19RA,9982,0,9901CE,2
19RA,9983,0,9901CE,2
19RA,9984,0,9901CE,1
19RA,9987,0,9901CE,1
19RA,9988,0,9901CE,1
19RA,9989,0,9901CE,2
19RA,9991,0,9901CE,3
05LB,9642,0,9781EG,1
05LB,9781,0,9781EG,78
05LB,9784,0,9781EG,1
05LB,9959,0,9781EG,3
05RP,9781,0,9959PN,2
05RP,9784,0,9959PN,2
05RP,9959,0,9959PN,32
05RP,9989,0,9959PN,1
06CI,9714,0,9781HM,1
06CI,9744,0,9781HM,1
06CI,9771,0,9781HM,1
06CI,9781,0,9781HM,125
06CI,9784,0,9781HM,8
06CI,9791,0,9781HM,2
06CI,9959,0,9781HM,10
06CI,9989,0,9781HM,1
06CI,9991,0,9781HM,2
08BY,4336,0,9785BB,2
08BY,9734,0,9785BB,2
08BY,9736,0,9785BB,4
08BY,9737,0,9785BB,2
08BY,9738,0,9785BB,4
08BY,9781,0,9785BB,5
08BY,9784,0,9785BB,10
08BY,9785,0,9785BB,21
08IB,9744,0,9781NR,1
08IB,9771,0,9781NR,1
08IB,9781,0,9781NR,260
08IB,9792,0,9781NR,1
08IB,9959,0,9781NR,5
08IB,9991,0,9781NR,7
09BL,9781,0,9781JN,295
10DS,9731,0,9785BG,1
10DS,9736,0,9785BG,2
10DS,9737,0,9785BG,3
10DS,9738,0,9785BG,8
10DS,9746,0,9785BG,1
10DS,9784,0,9785BG,5
10DS,9785,0,9785BG,39
10DS,9932,0,9785BG,1
05MH,Duitsland,0,9695AP,1
05MH,ander land,0,9695AP,4
05MH,onbekend,0,9695AP,1
05MH,9636,0,9695AP,1
05MH,9675,0,9695AP,1
05MH,9695,0,9695AP,75
05MH,9696,0,9695AP,4
05MH,9698,0,9695AP,3
05MH,9699,0,9695AP,2
06CN,onbekend,0,9695AH,2
06CN,9663,0,9695AH,1
06CN,9665,0,9695AH,29
06CN,9671,0,9695AH,2
06CN,9674,0,9695AH,1
06CN,9675,0,9695AH,1
06CN,9677,0,9695AH,1
06CN,9684,0,9695AH,1
06CN,9686,0,9695AH,1
06CN,9688,0,9695AH,1
06CN,9695,0,9695AH,78
06CN,9697,0,9695AH,3
06CN,9944,0,9695AH,1
07XN,9642,0,9697NS,1
07XN,9695,0,9697NS,3
07XN,9697,0,9697NS,47
07XN,9698,0,9697NS,14
07XN,9699,0,9697NS,3
08IC,ander land,0,9695AC,5
08IC,9695,0,9695AC,81
08IC,9696,0,9695AC,6
08IC,9699,0,9695AC,2
08IC,9728,0,9695AC,1
09ID,ander land,0,9695CW,6
09ID,onbekend,0,9695CW,3
09ID,9695,0,9695CW,26
09ID,9697,0,9695CW,1
10DT,ander land,0,9699PG,1
10DT,9541,0,9699PG,5
10DT,9566,0,9699PG,14
10DT,9675,0,9699PG,1
10DT,9695,0,9699PG,3
10DT,9697,0,9699PG,1
10DT,9698,0,9699PG,2
10DT,9699,0,9699PG,29
11JJ,9541,0,9698AW,5
11JJ,9566,0,9698AW,3
11JJ,9675,0,9698AW,1
11JJ,9695,0,9698AW,5
11JJ,9698,0,9698AW,78
11JJ,9699,0,9698AW,1
11UZ,9665,0,9697RZ,1
11UZ,9686,0,9697RZ,1
11UZ,9697,0,9697RZ,86
05TO,onbekend,0,9791BN,1
05TO,9791,0,9791BN,164
05TO,9792,0,9791BN,2
05TO,9795,0,9791BN,1
05TO,9796,0,9791BN,11
05TO,9932,0,9791BN,1
06SE,9791,0,9791JB,88
